Iter,Avg Makespan,,,
10,273.3399963,,training_time,26729.674
20,272.5299988,,mean_ms,225.22
30,273.0700073,,max_ms,273.34
40,268.230011,,mins_ms,214.70
50,260.3999939,,,
60,246.7799988,,,
70,267.1000061,,,
80,223.1900024,,,
90,229,,,
100,222.6900024,,,
110,218.3899994,,,
120,221.6300049,,,
130,220.5700073,,,
140,222.7599945,,,
150,216.6100006,,,
160,217.1699982,,,
170,215.2700043,,,
180,214.9100037,,,
190,221.3099976,,,
200,215.4199982,,,
210,218.8800049,,,
220,218.4299927,,,
230,217.8000031,,,
240,220.6199951,,,
250,218.2100067,,,
260,215.0399933,,,
270,217.6900024,,,
280,218.7700043,,,
290,217.2599945,,,
300,219.2200012,,,
310,218.1799927,,,
320,218.6699982,,,
330,219.0800018,,,
340,220.0899963,,,
350,220.2100067,,,
360,221.7799988,,,
370,220.0800018,,,
380,217.1399994,,,
390,215.4499969,,,
400,214.6999969,,,
410,216.1900024,,,
420,218.0299988,,,
430,217.2200012,,,
440,217.1399994,,,
450,215.7400055,,,
460,217.9499969,,,
470,217.5800018,,,
480,218.5800018,,,
490,217.2799988,,,
500,217.7899933,,,
