Iter,Avg Makespan,,,
10,140.8999939,,training_time,2212.852
20,129.8000031,,mean_ms,111.00
30,129.0599976,,max_ms,140.90
40,131,,min_ms,107.85
50,129.2400055,,,
60,122.2300034,,,
70,121.0899963,,,
80,118.5,,,
90,114.5299988,,,
100,112.5500031,,,
110,111.7799988,,,
120,113.8600006,,,
130,111.1600037,,,
140,110.3399963,,,
150,110.8199997,,,
160,112.0100021,,,
170,110,,,
180,110.3300018,,,
190,107.9199982,,,
200,108.0100021,,,
210,108.1399994,,,
220,108.1100006,,,
230,108.6699982,,,
240,107.8499985,,,
250,108.7099991,,,
260,109.1399994,,,
270,109.5999985,,,
280,109,,,
290,108.6200027,,,
300,109.2099991,,,
310,108.7600021,,,
320,108.8600006,,,
330,109.1600037,,,
340,109.1800003,,,
350,108.3700027,,,
360,107.9599991,,,
370,108.0899963,,,
380,108.3799973,,,
390,108.6600037,,,
400,109.4899979,,,
410,107.9000015,,,
420,108.6900024,,,
430,109.4000015,,,
440,110.1299973,,,
450,108.4800034,,,
460,108.6600037,,,
470,109.0199966,,,
480,108.6699982,,,
490,109.5599976,,,
500,108.6399994,,,
510,109.0699997,,,
520,109.7300034,,,
530,108.9499969,,,
540,109.2200012,,,
550,110.7699966,,,
560,109.6100006,,,
570,108.3899994,,,
580,109.1600037,,,
590,108.6299973,,,
600,108.4499969,,,
610,108.2200012,,,
620,108.6299973,,,
630,109.3600006,,,
640,109.1900024,,,
650,109.0199966,,,
660,109.3300018,,,
670,109.5999985,,,
680,109.5,,,
690,109.9300003,,,
700,108.7399979,,,
710,109.9400024,,,
720,110.0199966,,,
730,110.5500031,,,
740,110.1900024,,,
750,110.0299988,,,
760,109.4100037,,,
770,109.6800003,,,
780,108.7799988,,,
790,108.9700012,,,
800,109.1900024,,,
810,109.6299973,,,
820,109.1299973,,,
830,109.4000015,,,
840,110.1299973,,,
850,110.7600021,,,
860,112.0100021,,,
870,109.4000015,,,
880,110.0299988,,,
890,109.5599976,,,
900,109.75,,,
910,109.1600037,,,
920,110.3600006,,,
930,110,,,
940,109.5100021,,,
950,109.6900024,,,
960,110.5400009,,,
970,111.4800034,,,
980,110.5400009,,,
990,111.1500015,,,
1000,109.4000015,,,
