Iter,Avg Makespan,,,
10,140.899993896484,,training_time,2212.852
20,129.800003051758,,,
30,129.059997558594,,,
40,131,,,
50,129.240005493164,,,
60,122.230003356934,,,
70,121.089996337891,,,
80,118.5,,,
90,114.529998779297,,,
100,112.550003051758,,,
110,111.779998779297,,,
120,113.860000610352,,,
130,111.160003662109,,,
140,110.339996337891,,,
150,110.819999694824,,,
160,112.01000213623,,,
170,110,,,
180,110.330001831055,,,
190,107.919998168945,,,
200,108.01000213623,,,
210,108.139999389648,,,
220,108.110000610352,,,
230,108.669998168945,,,
240,107.849998474121,,,
250,108.709999084473,,,
260,109.139999389648,,,
270,109.599998474121,,,
280,109,,,
290,108.620002746582,,,
300,109.209999084473,,,
310,108.76000213623,,,
320,108.860000610352,,,
330,109.160003662109,,,
340,109.180000305176,,,
350,108.370002746582,,,
360,107.959999084473,,,
370,108.089996337891,,,
380,108.379997253418,,,
390,108.660003662109,,,
400,109.48999786377,,,
410,107.900001525879,,,
420,108.690002441406,,,
430,109.400001525879,,,
440,110.129997253418,,,
450,108.480003356934,,,
460,108.660003662109,,,
470,109.019996643066,,,
480,108.669998168945,,,
490,109.559997558594,,,
500,108.639999389648,,,
510,109.069999694824,,,
520,109.730003356934,,,
530,108.949996948242,,,
540,109.220001220703,,,
550,110.769996643066,,,
560,109.610000610352,,,
570,108.389999389648,,,
580,109.160003662109,,,
590,108.629997253418,,,
600,108.449996948242,,,
610,108.220001220703,,,
620,108.629997253418,,,
630,109.360000610352,,,
640,109.190002441406,,,
650,109.019996643066,,,
660,109.330001831055,,,
670,109.599998474121,,,
680,109.5,,,
690,109.930000305176,,,
700,108.73999786377,,,
710,109.940002441406,,,
720,110.019996643066,,,
730,110.550003051758,,,
740,110.190002441406,,,
750,110.029998779297,,,
760,109.410003662109,,,
770,109.680000305176,,,
780,108.779998779297,,,
790,108.970001220703,,,
800,109.190002441406,,,
810,109.629997253418,,,
820,109.129997253418,,,
830,109.400001525879,,,
840,110.129997253418,,,
850,110.76000213623,,,
860,112.01000213623,,,
870,109.400001525879,,,
880,110.029998779297,,,
890,109.559997558594,,,
900,109.75,,,
910,109.160003662109,,,
920,110.360000610352,,,
930,110,,,
940,109.51000213623,,,
950,109.690002441406,,,
960,110.540000915527,,,
970,111.480003356934,,,
980,110.540000915527,,,
990,111.150001525879,,,
1000,109.400001525879,,,
