Iter,Avg Makespan,,,
10,208.6900024,,training_time,13522.257
20,210.5299988,,mean_ms,173.72
30,216.4400024,,max_ms,216.44
40,200.4299927,,min_ms,166.64
50,199.4499969,,,
60,188.5,,,
70,179.7200012,,,
80,176.2299957,,,
90,173.9600067,,,
100,172.2799988,,,
110,168.5299988,,,
120,169.6000061,,,
130,171.3000031,,,
140,173.1499939,,,
150,169.5299988,,,
160,169.2599945,,,
170,169.4299927,,,
180,167.4100037,,,
190,168.7799988,,,
200,172.0099945,,,
210,169.4199982,,,
220,168.6100006,,,
230,168.8600006,,,
240,169.8699951,,,
250,169.5399933,,,
260,169.2899933,,,
270,168.1900024,,,
280,169.8500061,,,
290,167.8800049,,,
300,168.4900055,,,
310,169.0200043,,,
320,172.8899994,,,
330,169.3200073,,,
340,168.2100067,,,
350,167.0299988,,,
360,167.0200043,,,
370,167.4100037,,,
380,166.6399994,,,
390,170.6799927,,,
400,168.2100067,,,
410,168.1499939,,,
420,168.5,,,
430,168.0200043,,,
440,167.7899933,,,
450,169.8399963,,,
460,168.9600067,,,
470,168.0299988,,,
480,167.8699951,,,
490,168.3099976,,,
500,168.7400055,,,
